 	172800 	NS 	ns-832.awsdns-40.net.
 	172800 	NS 	ns-1813.awsdns-34.co.uk.
 	172800 	NS 	ns-1243.awsdns-27.org.
 	172800 	NS 	ns-291.awsdns-36.com.
 	900 	SOA 	ns-832.awsdns-40.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
 	300 	TXT 	"9mnrij3q7e26q8srimmsi8a10r"
4know-op. 	300 	CNAME 	4know-op-d126271f58afa2b2.elb.us-west-2.amazonaws.com.
_420300b33d280d8467f4d1181a6fd6aa. 	300 	CNAME 	_bffe52b7f047b8790342908b7aff9737.ltfvzjuylp.acm-validations.aws.
_dnsauth. 	300 	TXT 	"l6bbhwtmy4cx1j6p1z2mvg8dmkcqwbw1"
_pki-validation. 	300 	TXT 	"A40A-C6CD-6B8A-5813-160E-9929-A067-BDC5"
act-web-ru. 	300 	CNAME 	www.example.com.
act-web-test. 	300 	CNAME 	www.example.com.
act-web. 	300 	CNAME 	www.example.com.
amazon-voice. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
amsop. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com.
api-server. 	300 	CNAME 	master-apiserver-aae40d0f5b08eef8.elb.us-west-2.amazonaws.com:6443
app-dl. 	300 	CNAME 	d20dfzhhbt394p.cloudfront.net.
app-tv-af. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-as. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-dev. 	300 	A 	34.212.125.2
app-tv-ea. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-ee. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-eu. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-la. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-me. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-na. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-oc. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-sa. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv-test. 	300 	CNAME 	sitnew-hiupgrade-a182c466ef4a2646.elb.us-west-2.amazonaws.com.
app-tv. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
app-tv. 	300 	CNAME 	hiupgrade-nginx-hismarttv-ext-ea902929cafd6970.elb.us-west-2.amazonaws.com
appstore-vidaa-dev. 	300 	CNAME 	d88pilyoayuqc.cloudfront.net.
appstore-vidaa. 	300 	CNAME 	d319rfbj8ouwlm.cloudfront.net.
archive-mmb-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
archive-mmb-ru. 	300 	A 	178.154.193.99
