vidaahub.com. 	172800 	NS 	ns-1670.awsdns-16.co.uk.
vidaahub.com. 	172800 	NS 	ns-883.awsdns-46.net.
vidaahub.com. 	172800 	NS 	ns-386.awsdns-48.com.
vidaahub.com. 	172800 	NS 	ns-1464.awsdns-55.org.
vidaahub.com. 	900 	SOA 	ns-1670.awsdns-16.co.uk. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
vidaahub.com. 	300 	TXT 	"9mnrij3q7e26q8srimmsi8a10r"
4know-op.vidaahub.com. 	300 	CNAME 	4know-op-d126271f58afa2b2.elb.us-west-2.amazonaws.com
_420300b33d280d8467f4d1181a6fd6aa.vidaahub.com. 	300 	CNAME 	_bffe52b7f047b8790342908b7aff9737.ltfvzjuylp.acm-validations.aws.
_dnsauth.vidaahub.com. 	300 	TXT 	"l6bbhwtmy4cx1j6p1z2mvg8dmkcqwbw1"
_pki-validation.vidaahub.com. 	300 	TXT 	"A40A-C6CD-6B8A-5813-160E-9929-A067-BDC5"
act-web-ru.vidaahub.com. 	300 	CNAME 	www.example.com
act-web-test.vidaahub.com. 	300 	CNAME 	www.example.com
act-web.vidaahub.com. 	300 	CNAME 	www.example.com
amazon-voice.vidaahub.com. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com
amsop.vidaahub.com. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com
app-dl.vidaahub.com. 	300 	CNAME 	d20dfzhhbt394p.cloudfront.net
app-tv-af.vidaahub.com. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com
app-tv-as.vidaahub.com. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com
app-tv-dev.vidaahub.com. 	300 	A 	34.212.125.2
app-tv-ea.vidaahub.com. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com
app-tv-ee.vidaahub.com. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com
